id,trader,estimator,features_used,target_used,normalizer,optimizer,learning_rate,criterion,eps_scheduler,epsilon,epsilon_final,epsilon_decay,action_space,window_size,batch_size,n_episodes,replay_size,sync_steps,prob_alpha,beta_start,train_profit,valid_profit,train_reward,valid_reward,observation
90,DQNFixedTargets,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,5,32,1000,1000,1000,0.6,0.4,3621.76,410.424,4.143,2.572,Use all features from features_used field
91,DQNFixedTargets,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,10,32,1000,1000,1000,0.6,0.4,1890.625,428.973,2.23,2.6860000000000004,Use all features from features_used field
92,DQNFixedTargets,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,15,32,1000,1000,1000,0.6,0.4,0.0,0.0,0.0,0.0,Use all features from features_used field
93,DQNFixedTargets,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,5,32,1000,1000,1000,0.6,0.4,3331.035,847.2689999999999,3.8080000000000003,3.759,Use all features from features_used field
94,DQNFixedTargets,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,10,32,1000,1000,1000,0.6,0.4,2948.291,483.524,3.737,2.658,Use all features from features_used field
95,DQNFixedTargets,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,15,32,1000,1000,1000,0.6,0.4,314.274,199.891,0.366,0.7929999999999999,Use all features from features_used field
96,DQNFixedTargets,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,5,32,1000,1000,1000,0.6,0.4,4539.304,803.289,5.183,3.636,Use all features from features_used field
97,DQNFixedTargets,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,1000,1000,0.6,0.4,322.9190000000001,518.7330000000002,0.513,2.7969999999999997,Use all features from features_used field
98,DQNFixedTargets,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,15,32,1000,1000,1000,0.6,0.4,1573.734,755.164,1.848,3.38,Use all features from features_used field
99,DQNFixedTargets,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.9,3,5,32,1000,1000,1000,0.6,0.4,93.697,852.086,0.149,3.841,Use all features from features_used field
